,Vorname,Scope1,Scope2,Scope3,Scope1und2,Scope2und3,Scope1bis3,AbsSeiten,Jahr,Gewichtseinheit,NamePDF
78,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,BRO - Annual Report for period end 31Dec2020 English PDF - 23-Mar-21.pdf
79,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,BSX - Annual Report for period end 31Dec2020 English PDF - 30-Jun-21.pdf
80,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,BVT - Annual Report for period end 30Jun2021 English PDF - 27-Oct-21.pdf
81,Rainer,[100.0],[100.0],[],[],[],[],"[[13], [13], [], [], [], []]",2020,tons,BXP - Annual Report for period end 31Dec2020 English PDF - 05-Apr-21.pdf
82,Rainer,"[21.0, 12.0, 542.2]",[],[542.2],"[21.0, 42.2]",[],[],"[[104, 103], [], [104], [104, 103], [], []]",2018,t CO2,c764cb56f80ca3941fc2149bfb99e5b7.pdf
83,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,CAG - Annual Report for period end 30May2021 English PDF - 06-Aug-21.pdf
84,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,CAH - Annual Report for period end 30Jun2021 English PDF - 23-Sep-21.pdf
85,Rainer,[16313.0],"[16313.0, 38827.0, 35388.0]","[35388.0, 4636.0]",[],[],[],"[[278], [278], [278], [], [], []]",2020,tons,CB - Annual Report for period end 31Dec2020 English PDF - 06-Apr-21.pdf
86,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,CBRE - Annual Report for period end 31Dec2020 English PDF - 07-Apr-21.pdf
87,Rainer,[90.0],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,CF - Annual Report for period end 31Dec2020 English PDF - 23-Mar-21.pdf
88,Rainer,"[2008.0, 137611.0, 129516.0]","[8376.0, 8095.0]",[],[2008.0],[],[],"[[44], [44], [], [44], [], []]",2018,tons,CG Annual Report 2018.pdf
89,Rainer,[40.0],[],[],[40.0],[],[],"[[19], [], [], [19], [], []]",2020,tons,CHRW - Annual Report for period end 31Dec2020 English PDF - 25-Mar-21.pdf
90,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,CINF - Annual Report for period end 31Dec2020 English PDF - 24-Mar-21.pdf
91,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,CL - Annual Report for period end 31Dec2020 English PDF - 24-Mar-21.pdf
92,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,CLX - Annual Report for period end 30Jun2021 English PDF - 08-Oct-21.pdf
93,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,CLX - Annual Report for period end 30Jun2021 English PDF - 18-Oct-21.pdf
94,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,CMS - Annual Report for period end 31Dec2020 English PDF - 25-Mar-21.pdf
95,Rainer,"[35.0, 45.0]",[],[16.0],"[35.0, 45.0]",[],[],"[[49], [], [4], [49, 76], [], []]",2020,tons,COP - Annual Report for period end 31Dec2020 English PDF - 24-Mar-21.pdf
96,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,CPB - Annual Report for period end 01Aug2021 English PDF - 21-Oct-21.pdf
97,Rainer,[],[],"[49.0, 31.0]",[],[],[],"[[], [], [73], [], [], []]",2021,tons,CRM - Annual Report for period end 31Jan2021 English PDF - 29-Apr-21.pdf
98,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,CS - AXA SA (CS-FR) - Annual Report for period end 31-Dec-2018 (English) - PDF - 27-Mar-19 - Annual.pdf
99,Rainer,[180.0],[180.0],[],[],[],[],"[[16], [16], [], [], [], []]",2021,tons,CSCO - Annual Report for period end 31Jul2021 English PDF - 26-Oct-21.pdf
100,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,CTLT - Annual Report for period end 30Jun2021 English PDF - 23-Sep-21.pdf
101,Rainer,[2736.0],[],[],[25557.0],[],[],"[[9], [], [], [9], [], []]",2020,tons,CTXS - Annual Report for period end 31Dec2020 English PDF - 16-Apr-21.pdf
102,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,D - Annual Report for period end 31Dec2020 English PDF - 24-Mar-21.pdf
103,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,DAI - Daimler AG (DAI-DE) - Annual Report for period end 31-Dec-2018 (English) - PDF - 21-Feb-19 - Annual.pdf
104,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,DBG-combined-management-report-AR-2018.pdf
105,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,DE000A1ML7J1-JA-2018-EQ-E-01_unlocked (1).pdf
106,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,DG - VINCI SA (DG-FR) - Annual Report for period end 31-Dec-2018 (English) - PDF - 13-Mar-19 - Annual.pdf
107,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,DGE - Diageo Plc (DEO-GB) - Annual Report for period end 30-Jun-2018 (English) - PDF - 30-Jun-18 - Annual.pdf
108,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,DHR - Annual Report for period end 31Dec2020 English PDF - 25-Mar-21.pdf
109,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,DISH - Annual Report for period end 31Dec2020 English PDF - 26-Apr-21.pdf
110,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,DLTR - Annual Report for period end 30Jan2021 English PDF - 23-Apr-21.pdf
111,Rainer,[23.0],[23.0],[],[],[],[],"[[61], [61], [], [], [], []]",2018,tons,DPDHL-2018-Annual-Report_unlocked (1).pdf
112,Rainer,"[17185952.0, 5521.0, 6747.0]","[17185952.0, 3712.0, 4969.0]","[17185952.0, 2347.0, 2420.0]",[],[],[],"[[68, 69], [68, 69], [68, 69], [], [], []]",2021,tons,DPH - Annual Report for period end 30Jun2021 English PDF - 20-Sep-21.pdf
113,Rainer,[],[],[63.0],[],[],[],"[[], [], [79], [], [], []]",2018,(t) CO2e,DTE - Deutsche Telekom AG (DTE-DE) - Annual Report for period end 31-Dec-2018 (German) - PDF - 09-Jul-19 - Annual.pdf
114,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,DUK - Annual Report for period end 31Dec2020 English PDF - 23-Mar-21.pdf
115,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,DVA - Annual Report for period end 31Dec2020 English PDF - 24-Apr-21.pdf
116,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,EA - Annual Report for period end 31Mar2021 English PDF - 27-Jul-21.pdf
117,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,ED - Annual Report for period end 31Dec2020 English PDF - 05-Apr-21.pdf
118,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,en-AR-Group-2018_unlocked.pdf
119,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2019,tons,engie_2018-management-report-and-annual-consolidated-financial-statements_27.02.2019_bat.pdf
120,Rainer,"[43.35, 28.15, 298.0]",[],[],[],[],[],"[[129, 115, 133], [], [], [], [], []]",2018,tons,ENI - Eni SpA (E-IT) - Annual Report for period end 31-Dec-2018 (English) - PDF - 31-Jul-19 - Annual.pdf
121,Rainer,"[6173.0, 152.0, 151.0]",[],[],[],[],[],"[[64, 63], [], [], [], [], []]",2018,tons,entire_lonza_ar18.pdf
122,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,entire_shell_ar18_unlocked.pdf
123,Rainer,[55100.0],"[2280200.0, 327700.0]",[],[],[],[],"[[9], [9], [], [], [], []]",2020,tons,EQIX - Annual Report for period end 31Dec2020 English PDF - 19-Apr-21.pdf
124,Rainer,"[280.0, 296.0]",[296.0],[296.0],[],[],[],"[[191], [191], [191], [], [], []]",2018,tons,ericsson-annual-report-2018-en.pdf
125,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,ETN - Annual Report for period end 31Dec2020 English PDF - 25-Mar-21.pdf
126,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,EXPD - Annual Report for period end 31Dec2020 English PDF - 24-Mar-21.pdf
127,Rainer,[21.0],"[21.0, 33.0, 28.0]","[32.0, 14.1]",[34.2],[],[],"[[37], [37], [37], [37], [], []]",2018,tons,experian-2018-annual-report.pdf
128,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,FCX - Annual Report for period end 31Dec2020 English PDF - 22-Apr-21.pdf
129,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,FEM - Annual Report for period end 30Jun2021 English PDF - 29-Oct-21.pdf
130,Rainer,"[92609.0, 91001.0, 91789.0]","[92609.0, 91773.0, 9219.0]",[],[],[],[],"[[125], [125], [], [], [], []]",2018,tCO2e,ferrari_nv_annual_report_12.31.2018.pdf
131,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,financial_statements_and_notes_2018.pdf
132,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,Financial_Statements_BASF_SE_2018_unlocked.pdf
133,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,FIS - Annual Report for period end 31Dec2020 English PDF - 19-Apr-21.pdf
134,Rainer,[40.0],[40.0],"[11.0, 52.0]","[40.0, 41.0, 42.0]",[],[],"[[], [], [206, 204, 205, 222], [161, 204, 109, 110, 27], [], []]",2018,(t) CO2e,FP - Total SA (FP-FR) - Annual Report for period end 31-Dec-2018 (English) - PDF - 16-May-19 - Annual.pdf
135,Rainer,"[548.0, 519.0, 169.0]","[548.0, 1004.0, 19.0]",[],[],[],[],"[[122], [122], [], [], [], []]",2018,tons,Fresenius_Annual_Report_2018_unlocked.pdf
136,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,FRT - Annual Report for period end 31Dec2020 English PDF - 25-Mar-21.pdf
137,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,FSR - Annual Report for period end 30Jun2021 English PDF - 16-Sep-21.pdf
138,Rainer,"[983.0, 1754.0, 1237.0]","[33188.0, 38100.0, 46463.0]","[8872.0, 9464.0]",[],[],[],"[[190], [190], [190], [], [], []]",2018,tons,fy2018-consolidated-accounts.pdf
139,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,GIV_2018_IntegratedAnnualReport_unlocked (1).pdf
140,Rainer,"[18.5, 21.6, 30.0]","[11.8, 11.6, 30.0]",[18.5],[],[],[],"[[40, 25, 45], [40, 25, 45], [45], [], [], []]",2018,million tonnes,GLEN - Glencore Plc (GLEN-CH) - Annual Report for period end 31-Dec-2018 (English) - PDF - 01-Mar-19 - Annual.pdf
141,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,GNRC - Annual Report for period end 31Dec2020 English PDF - 29-Apr-21.pdf
142,Rainer,"[574.3, 2626.0, 2756.0]","[168.0, 130.0]","[14664.0, 16119.0]","[41.0, 2756.0, 2798.0]",[],[],"[[45], [45], [45], [4, 45], [], []]",2021,tCO2e,GNS - Annual Report for period end 30Jun2021 English PDF - 15-Oct-21.pdf
143,Rainer,[75.0],[75.0],[75.0],[],[],[],"[[90], [90], [90], [], [], []]",2018,tons,Group Annual Integrated Report 2018_Group Generali_final_unlocked.pdf
144,Rainer,"[865.0, 15.0, 46.4]","[865.0, 606.0]",[16.0],"[46.4, 15.0]",[],[],"[[34], [34], [34], [34], [], []]",2018,million tonnes,GSK - GlaxoSmithKline Plc (GSK-GB) - Annual Report for period end 31-Dec-2018 (English) - PDF - 15-Mar-19 - Annual.pdf
145,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,HAL - Annual Report for period end 31Dec2020 English PDF - 06-Apr-21.pdf
146,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,HAL - Annual Report for period end 31Dec2020 English PDF - 23-Mar-21.pdf
147,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,Heineken Holding NV 2018 Annual Report.pdf
148,Rainer,[17.0],[],[],[175000.0],[],[],"[[11], [], [], [11, 5], [], []]",2020,tons,HES - Annual Report for period end 31Dec2020 English PDF - 23-Apr-21.pdf
149,Rainer,"[30.0, 975.5]",[672.1],[23.17],[30.0],[],[],"[[49, 50], [50], [50], [49], [], []]",2021,tons,HL - Annual Report for period end 30Jun2021 English PDF - 18-Oct-21.pdf
150,Rainer,[],[559000.0],[],[],[],[],"[[], [68], [], [], [], []]",2018,tons,HSBA - HSBC Holdings Plc (HBC-GB) - Annual Report for period end 31-Dec-2018 (English) - PDF - 06-Mar-19 - Annual.pdf
151,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,HST - Annual Report for period end 31Dec2020 English PDF - 07-Apr-21.pdf
152,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,HSY - Annual Report for period end 31Dec2020 English PDF - 08-Apr-21.pdf
153,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2020,tons,IFF - Annual Report for period end 31Dec2020 English PDF - 23-Mar-21.pdf
